    preflight: governor=performance thp=[always] mem_avail=14476MiB swap_used=433MiB gpu=17MiB,48,P8
  gsm8k/0                      ok   101 tok  37.74 t/s stop
  gsm8k/1                      ok    93 tok  36.52 t/s stop
  gsm8k/2                      ok   245 tok  38.19 t/s stop
  gsm8k/3                      ok   134 tok  38.64 t/s stop
  gsm8k/4                      ok   194 tok  38.53 t/s stop
  gsm8k/5                      ok   284 tok  38.93 t/s stop
  gsm8k/6                      ok   153 tok  37.76 t/s stop
  gsm8k/7                      ok   286 tok  38.90 t/s stop
  gsm8k/8                      ok   453 tok  39.05 t/s stop
  gsm8k/9                      ok   176 tok  38.64 t/s stop
  gsm8k/10                     ok   228 tok  38.04 t/s stop
  gsm8k/11                     ok   164 tok  37.83 t/s stop
  gsm8k/12                     ok   223 tok  39.29 t/s stop
  gsm8k/13                     ok   414 tok  37.97 t/s stop
  gsm8k/14                     ok   233 tok  37.99 t/s stop
  gsm8k/15                     ok   200 tok  38.23 t/s stop
  gsm8k/16                     ok   103 tok  37.67 t/s stop
  gsm8k/17                     ok   296 tok  38.36 t/s stop
  gsm8k/18                     ok   128 tok  38.93 t/s stop
  gsm8k/19                     ok   389 tok  37.87 t/s stop
  gsm8k/20                     ok   197 tok  37.62 t/s stop
  gsm8k/21                     ok    89 tok  39.45 t/s stop
  gsm8k/22                     ok   133 tok  38.14 t/s stop
  gsm8k/23                     ok   144 tok  38.66 t/s stop
  gsm8k/24                     ok   206 tok  38.77 t/s stop
  gsm8k/25                     ok   168 tok  37.22 t/s stop
  gsm8k/26                     ok   233 tok  36.00 t/s stop
  gsm8k/27                     ok   172 tok  38.57 t/s stop
  gsm8k/28                     ok   178 tok  34.84 t/s stop
  gsm8k/29                     ok   113 tok  32.48 t/s stop
  gsm8k/30                     ok   172 tok  37.09 t/s stop
  gsm8k/31                     ok   195 tok  34.25 t/s stop
  gsm8k/32                     ok    75 tok  31.75 t/s stop
  gsm8k/33                     ok   174 tok  37.31 t/s stop
  gsm8k/34                     ok   118 tok  31.24 t/s stop
  gsm8k/35                     ok   129 tok  32.27 t/s stop
  gsm8k/36                     ok   142 tok  33.51 t/s stop
  gsm8k/37                     ok   351 tok  35.76 t/s stop
  gsm8k/38                     ok   213 tok  39.14 t/s stop
  gsm8k/39                     ok   222 tok  34.03 t/s stop
  gsm8k/40                     ok   117 tok  37.51 t/s stop
  gsm8k/41                     ok   132 tok  30.62 t/s stop
  gsm8k/42                     ok   122 tok  32.28 t/s stop
  gsm8k/43                     ok   277 tok  35.36 t/s stop
  gsm8k/44                     ok   261 tok  39.06 t/s stop
  gsm8k/45                     ok   199 tok  38.61 t/s stop
  gsm8k/46                     ok   251 tok  38.04 t/s stop
  gsm8k/47                     ok   224 tok  34.51 t/s stop
  gsm8k/48                     ok   120 tok  31.33 t/s stop
  gsm8k/49                     ok   135 tok  31.91 t/s stop
  HumanEval/0                  ok   177 tok  32.57 t/s stop
  HumanEval/4                  ok   164 tok  38.57 t/s stop
  HumanEval/8                  ok   170 tok  38.56 t/s stop
  HumanEval/12                 ok   161 tok  38.44 t/s stop
  HumanEval/16                 ok    81 tok  37.84 t/s stop
  HumanEval/20                 ok   274 tok  38.72 t/s stop
  HumanEval/24                 ok    86 tok  32.32 t/s stop
  HumanEval/28                 ok    70 tok  32.44 t/s stop
  HumanEval/32                 ok   558 tok  36.40 t/s stop
  HumanEval/36                 ok   139 tok  38.45 t/s stop
  HumanEval/40                 ok   257 tok  34.60 t/s stop
  HumanEval/44                 ok   191 tok  39.33 t/s stop
  HumanEval/48                 ok    87 tok  38.75 t/s stop
  HumanEval/52                 ok   100 tok  37.69 t/s stop
  HumanEval/56                 ok   157 tok  39.26 t/s stop
  HumanEval/60                 ok   125 tok  38.79 t/s stop
  HumanEval/64                 ok   193 tok  38.43 t/s stop
  HumanEval/68                 ok   431 tok  38.42 t/s stop
  HumanEval/72                 ok   269 tok  38.19 t/s stop
  HumanEval/76                 ok   300 tok  39.11 t/s stop
  HumanEval/80                 ok   175 tok  38.91 t/s stop
  HumanEval/84                 ok   181 tok  38.26 t/s stop
  HumanEval/88                 ok   316 tok  38.66 t/s stop
  HumanEval/92                 ok   192 tok  38.35 t/s stop
  HumanEval/96                 ok   297 tok  39.57 t/s stop
  HumanEval/100                ok   269 tok  39.17 t/s stop
  HumanEval/104                ok   258 tok  39.35 t/s stop
  HumanEval/108                BAD  270 tok  39.04 t/s stop
  HumanEval/112                ok   219 tok  38.42 t/s stop
  HumanEval/116                ok   198 tok  38.38 t/s stop
  HumanEval/120                BAD  267 tok  38.37 t/s stop
  HumanEval/124                ok   636 tok  39.40 t/s stop
  HumanEval/128                ok   232 tok  38.79 t/s stop
  HumanEval/132                BAD  642 tok  39.90 t/s stop
  HumanEval/136                ok   213 tok  38.47 t/s stop
  HumanEval/140                ok   171 tok  38.69 t/s stop
  HumanEval/144                ok   278 tok  38.70 t/s stop
  HumanEval/148                ok   356 tok  39.32 t/s stop
  HumanEval/152                ok   257 tok  38.69 t/s stop
  HumanEval/156                ok   290 tok  39.77 t/s stop
  HumanEval/160                ok   297 tok  38.69 t/s stop
  mmlu_pro/3126                ok   293 tok  39.40 t/s stop
  mmlu_pro/503                 ok   732 tok  40.32 t/s stop
  mmlu_pro/3989                ok   374 tok  39.91 t/s stop
  mmlu_pro/7483                ok    84 tok  40.00 t/s stop
  mmlu_pro/11820               ok  1002 tok  38.17 t/s stop
  mmlu_pro/6607                ok    91 tok  39.59 t/s stop
  mmlu_pro/4863                ok    84 tok  39.43 t/s stop
  mmlu_pro/1373                ok   103 tok  39.65 t/s stop
  mmlu_pro/8347                ok   213 tok  38.74 t/s stop
  mmlu_pro/5738                ok   138 tok  40.98 t/s stop
  mmlu_pro/10950               ok   633 tok  39.42 t/s stop
  mmlu_pro/9208                ok   478 tok  40.33 t/s stop
  mmlu_pro/2247                ok   302 tok  39.34 t/s stop
  mmlu_pro/3146                ok   131 tok  39.81 t/s stop
  mmlu_pro/523                 ok   424 tok  38.92 t/s stop
  mmlu_pro/4009                ok   624 tok  38.77 t/s stop
  mmlu_pro/7503                ok   169 tok  40.37 t/s stop
  mmlu_pro/11840               BAD 2048 tok  36.19 t/s length
  mmlu_pro/6627                ok   257 tok  39.96 t/s stop
  mmlu_pro/4883                BAD  723 tok  35.68 t/s stop
  mmlu_pro/1395                ok   603 tok  38.87 t/s stop
  mmlu_pro/8367                ok   125 tok  36.29 t/s stop
  mmlu_pro/5758                ok    89 tok  36.88 t/s stop
  mmlu_pro/10971               ok   101 tok  38.33 t/s stop
  mmlu_pro/9228                BAD 2048 tok  37.10 t/s length
  mmlu_pro/2268                ok   488 tok  38.78 t/s stop
  mmlu_pro/3166                ok   357 tok  38.20 t/s stop
  mmlu_pro/544                 ok   964 tok  37.15 t/s stop
  mmlu_pro/4030                ok   374 tok  36.02 t/s stop
  mmlu_pro/7524                ok    92 tok  39.07 t/s stop
  mmlu_pro/11860               BAD 2048 tok  36.22 t/s length
  mmlu_pro/6647                ok   291 tok  37.03 t/s stop
  mmlu_pro/4903                ok   176 tok  38.68 t/s stop
  mmlu_pro/1416                BAD  887 tok  37.32 t/s stop
  mmlu_pro/8387                ok   250 tok  34.49 t/s stop
  mmlu_pro/5778                ok   365 tok  38.81 t/s stop
  mmlu_pro/10992               BAD  122 tok  37.26 t/s stop
  mmlu_pro/9248                BAD 2048 tok  36.32 t/s length
  mmlu_pro/2288                ok    84 tok  37.80 t/s stop
  mmlu_pro/3186                ok    86 tok  37.29 t/s stop
  mmlu_pro/564                 ok   916 tok  36.49 t/s stop
  mmlu_pro/4050                ok  1629 tok  36.92 t/s stop
  mmlu_pro/7544                BAD  974 tok  36.95 t/s stop
  mmlu_pro/11881               BAD 2048 tok  36.65 t/s length
  mmlu_pro/6667                ok   197 tok  39.67 t/s stop
  mmlu_pro/4923                ok   160 tok  37.78 t/s stop
  mmlu_pro/1438                BAD 1688 tok  37.78 t/s stop
  mmlu_pro/8407                ok   759 tok  36.60 t/s stop
  mmlu_pro/5799                ok   204 tok  39.74 t/s stop
  mmlu_pro/11013               ok   189 tok  36.11 t/s stop
  mmlu_pro/9268                ok  1411 tok  36.50 t/s stop
  mmlu_pro/2308                ok   122 tok  39.28 t/s stop
  mmlu_pro/3206                ok   415 tok  36.96 t/s stop
  mmlu_pro/584                 BAD  670 tok  36.49 t/s stop
  mmlu_pro/4070                ok   263 tok  38.70 t/s stop
  mmlu_pro/7564                BAD   83 tok  37.96 t/s stop
  mmlu_pro/11901               BAD 2048 tok  36.46 t/s length
  mmlu_pro/6687                ok   569 tok  38.54 t/s stop
  mmlu_pro/4943                ok   145 tok  38.74 t/s stop
  mmlu_pro/1458                BAD 2048 tok  37.89 t/s length
  mmlu_pro/8427                BAD 2048 tok  36.84 t/s length
  mmlu_pro/5820                ok   105 tok  38.41 t/s stop
  mmlu_pro/11034               ok  1402 tok  37.19 t/s stop
  mmlu_pro/9288                ok   438 tok  33.63 t/s stop
  mmlu_pro/2328                ok  1635 tok  37.11 t/s stop
  mmlu_pro/10073               ok   865 tok  36.65 t/s stop
  mmlu_pro/10094               BAD 2048 tok  37.28 t/s length
  mmlu_pro/10115               ok  1139 tok  36.65 t/s stop
  mmlu_pro/10136               ok   774 tok  36.91 t/s stop
  mmlu_pro/10156               ok   309 tok  38.04 t/s stop
QUALITY[q36_iq2m_cache48_main] think=off | gsm8k 100.0% +- 0.0 (n=50) | humaneval  92.7% +- 4.1 (n=41) | mmlu_pro  77.1% +- 5.0 (n=70) | mean 420 tok, 37.6 t/s | truncated 9 | empty 0 | 2316s
    telemetry[qual_q36_iq2m_cache48_main]: GPU util avg  84% max 100% | power avg  70W max  86W /100W | PCIe->GPU avg  1.06 max 11.62 GB/s (~13 cap) | CPU busy  516% of 1200% | DRAM read avg   4.6 max   7.9 GB/s (~38 cap)
    vram: 3416 MiB
    preflight: governor=performance thp=[always] mem_avail=14359MiB swap_used=352MiB gpu=17MiB,66,P0
  gsm8k/0                      ok   107 tok  31.39 t/s stop
  gsm8k/1                      ok    61 tok  32.91 t/s stop
  gsm8k/2                      ok   197 tok  32.48 t/s stop
  gsm8k/3                      ok    61 tok  31.95 t/s stop
  gsm8k/4                      ok   161 tok  31.08 t/s stop
  gsm8k/5                      ok   163 tok  32.72 t/s stop
  gsm8k/6                      ok   103 tok  32.84 t/s stop
  gsm8k/7                      ok   238 tok  31.23 t/s stop
  gsm8k/8                      ok   328 tok  31.61 t/s stop
  gsm8k/9                      ok   192 tok  32.69 t/s stop
  gsm8k/10                     ok   167 tok  32.50 t/s stop
  gsm8k/11                     ok   129 tok  32.41 t/s stop
  gsm8k/12                     BAD  143 tok  31.74 t/s stop
  gsm8k/13                     ok   268 tok  32.18 t/s stop
  gsm8k/14                     ok   179 tok  32.01 t/s stop
  gsm8k/15                     ok   210 tok  31.10 t/s stop
  gsm8k/16                     ok   168 tok  31.17 t/s stop
  gsm8k/17                     ok   124 tok  32.99 t/s stop
  gsm8k/18                     ok    89 tok  32.70 t/s stop
  gsm8k/19                     ok   283 tok  32.64 t/s stop
  gsm8k/20                     ok   253 tok  31.65 t/s stop
  gsm8k/21                     ok   155 tok  31.65 t/s stop
  gsm8k/22                     ok    90 tok  30.29 t/s stop
  gsm8k/23                     ok    93 tok  32.17 t/s stop
  gsm8k/24                     ok   200 tok  32.44 t/s stop
  gsm8k/25                     ok   178 tok  31.58 t/s stop
  gsm8k/26                     ok   214 tok  29.63 t/s stop
  gsm8k/27                     ok   126 tok  32.54 t/s stop
  gsm8k/28                     ok   104 tok  29.16 t/s stop
  gsm8k/29                     ok   137 tok  30.78 t/s stop
  gsm8k/30                     ok   178 tok  32.13 t/s stop
  gsm8k/31                     ok   181 tok  33.07 t/s stop
  gsm8k/32                     ok    70 tok  32.74 t/s stop
  gsm8k/33                     ok   261 tok  32.50 t/s stop
  gsm8k/34                     ok   132 tok  30.43 t/s stop
  gsm8k/35                     ok   105 tok  31.09 t/s stop
  gsm8k/36                     ok    94 tok  32.47 t/s stop
  gsm8k/37                     ok   270 tok  31.39 t/s stop
  gsm8k/38                     ok   160 tok  33.27 t/s stop
  gsm8k/39                     ok   238 tok  32.25 t/s stop
  gsm8k/40                     ok    81 tok  30.75 t/s stop
  gsm8k/41                     ok   161 tok  30.41 t/s stop
