Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
61.0,9293351326,61084,152140.5,3727.0,606,66113748,1050441.3,cudaStreamSynchronize
33.8,5142511606,8,642813950.8,1217965.0,4228,5127818636,1812218396.4,cudaMallocHost
1.8,276888507,38923,7113.8,4191.0,1944,4086586,90289.4,cudaMemcpyAsync
1.1,160302467,17,9429556.9,10183.0,8261,160077872,38821183.4,cudaMemGetInfo
1.0,155290569,10287,15095.8,13255.0,4776,240002,9089.5,cudaGraphLaunch_v10000
0.4,68415240,92,743643.9,670631.5,646657,2208220,234593.4,cudaGetDeviceProperties_v2_v12000
0.4,61552763,11726,5249.3,3281.5,733,8280878,101303.5,cudaLaunchKernel
0.1,20915731,9,2323970.1,113319.0,14301,17418529,5728888.5,cudaFree
0.1,19229893,162,118703.0,128809.0,23455,499756,87399.3,cudaGraphInstantiate_v12000
0.0,6293257,7,899036.7,342086.0,6194,4911736,1777166.3,cudaFreeHost
0.0,5754377,1,5754377.0,5754377.0,5754377,5754377,0.0,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,4899971,162,30246.7,2955.5,2257,4305597,337996.0,cudaStreamBeginCapture_v10000
0.0,4767925,162,29431.6,30506.5,7834,130107,19434.8,cudaGraphExecDestroy_v10000
0.0,3309417,10,330941.7,112301.0,9798,2374623,719896.8,cudaMalloc
0.0,3282666,10,328266.6,14512.0,4947,2665715,837344.1,cudaMemsetAsync
0.0,2571559,1429,1799.6,1944.0,512,20171,1149.9,cudaEventSynchronize
0.0,1933559,1425,1356.9,1212.0,564,16492,728.8,cudaEventRecord
0.0,1496736,162,9239.1,8324.5,1709,31503,7015.3,cudaGraphDestroy_v10000
0.0,750458,120,6253.8,6476.5,1389,35854,4068.3,cudaMemcpy2DAsync
0.0,650301,162,4014.2,4110.5,1546,11291,2101.8,cudaGraphExecUpdate_v10020
0.0,299398,22,13609.0,428.0,344,283982,60392.2,cudaEventCreateWithFlags
0.0,274580,162,1694.9,1710.5,822,3491,713.3,cudaStreamEndCapture_v10000
0.0,196249,766,256.2,160.0,95,2767,239.8,cuGetProcAddress_v2
0.0,181397,3,60465.7,17917.0,9514,153966,81082.6,cudaStreamCreateWithFlags
0.0,67294,1,67294.0,67294.0,67294,67294,0.0,cuMemUnmap
0.0,58326,1,58326.0,58326.0,58326,58326,0.0,cuMemSetAccess
0.0,37912,4,9478.0,6976.0,3809,20151,7270.7,cudaDeviceSynchronize
0.0,34830,3,11610.0,12546.0,6771,15513,4445.5,cudaStreamDestroy
0.0,30059,1,30059.0,30059.0,30059,30059,0.0,cuMemCreate
0.0,16864,22,766.5,641.5,352,2505,508.3,cudaEventDestroy
0.0,13304,1,13304.0,13304.0,13304,13304,0.0,cuMemAddressReserve
0.0,10860,1,10860.0,10860.0,10860,10860,0.0,cuMemAddressFree
0.0,3463,1,3463.0,3463.0,3463,3463,0.0,cuMemGetAllocationGranularity
0.0,2773,2,1386.5,1386.5,1070,1703,447.6,cuInit
0.0,2651,1,2651.0,2651.0,2651,2651,0.0,cuMemMap
0.0,938,3,312.7,143.0,136,659,300.0,cuModuleGetLoadingMode
0.0,278,1,278.0,278.0,278,278,0.0,cuMemRelease
