Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
56.6,4318154246,32520,132784.6,3650.0,607,66308889,1178071.6,cudaStreamSynchronize
32.7,2495637779,8,311954722.4,607885.5,2895,2484358991,877788440.7,cudaMallocHost
5.0,381036112,119330,3193.1,2948.0,2406,7008901,25073.5,cudaLaunchKernel
2.2,169954592,21879,7767.9,3491.0,2031,3639961,100977.0,cudaMemcpyAsync
2.1,158852833,17,9344284.3,10985.0,8144,158635425,38471447.0,cudaMemGetInfo
0.9,68674589,92,746462.9,666301.5,646376,3560529,336164.8,cudaGetDeviceProperties_v2_v12000
0.2,18491416,9,2054601.8,68471.0,7411,15242421,5028437.9,cudaFree
0.1,4590959,7,655851.3,306649.0,6057,3346857,1195613.3,cudaFreeHost
0.1,4114922,1,4114922.0,4114922.0,4114922,4114922,0.0,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,2904253,10,290425.3,109742.5,5998,2010819,606386.0,cudaMalloc
0.0,2456646,1429,1719.1,1879.0,483,22093,1244.6,cudaEventSynchronize
0.0,2021294,1425,1418.5,1224.0,592,17094,1039.6,cudaEventRecord
0.0,1478668,10,147866.8,13143.0,5085,1077392,337413.7,cudaMemsetAsync
0.0,729788,120,6081.6,5735.5,5320,9830,951.2,cudaMemcpy2DAsync
0.0,391196,22,17781.6,422.0,323,348898,74135.5,cudaEventCreateWithFlags
0.0,264839,3,88279.7,16500.0,10019,238320,129979.1,cudaStreamCreateWithFlags
0.0,129569,766,169.2,144.0,99,2020,106.2,cuGetProcAddress_v2
0.0,58873,1,58873.0,58873.0,58873,58873,0.0,cuMemSetAccess
0.0,41687,3,13895.7,12517.0,6650,22520,8024.3,cudaStreamDestroy
0.0,38699,1,38699.0,38699.0,38699,38699,0.0,cuMemUnmap
0.0,29953,1,29953.0,29953.0,29953,29953,0.0,cuMemCreate
0.0,23126,4,5781.5,2166.0,1076,17718,7977.3,cudaDeviceSynchronize
0.0,12600,1,12600.0,12600.0,12600,12600,0.0,cuMemAddressReserve
0.0,10904,22,495.6,397.0,320,1504,302.8,cudaEventDestroy
0.0,5886,1,5886.0,5886.0,5886,5886,0.0,cuMemAddressFree
0.0,2811,1,2811.0,2811.0,2811,2811,0.0,cuMemMap
0.0,2595,1,2595.0,2595.0,2595,2595,0.0,cuMemGetAllocationGranularity
0.0,2308,2,1154.0,1154.0,906,1402,350.7,cuInit
0.0,974,3,324.7,148.0,128,698,323.5,cuModuleGetLoadingMode
0.0,252,1,252.0,252.0,252,252,0.0,cuMemRelease
