Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
52.6,2304030344,630,3657191.0,3655111.5,3644024,3831315,17627.5,   1   20    2,  32    4    1,"void flash_attn_ext_vec<(int)256, (int)1, (int)8, (ggml_type)2, (ggml_type)2, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
14.2,623230883,20,31161544.2,29279580.5,8407760,62581573,23687459.9,  20    1    1,  32    4    1,"void flash_attn_ext_f16<(int)256, (int)256, (int)4, (int)8, (bool)0, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
4.1,180796427,2520,71744.6,71902.0,57054,89501,7228.9, 128    8    1,  32    4    1,"void mul_mat_vec_q<(ggml_type)22, (int)1, (bool)1, (bool)1, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
3.1,135704919,2331,58217.5,58111.0,53662,62430,2124.3, 512    8    1,  32    4    1,"void mul_mat_vec_q<(ggml_type)22, (int)1, (bool)0, (bool)1, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
3.0,130212656,66,1972919.0,1972775.0,1972040,1977608,891.0,248320    1    1,  32    2    1,"void mul_mat_vec_q<(ggml_type)13, (int)1, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
2.5,108679963,1890,57502.6,57023.0,56542,66846,1816.4,8192    1    1,  32    2    1,"void mul_mat_vec_q<(ggml_type)12, (int)1, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
2.1,91745864,1890,48542.8,48415.0,47934,52126,490.5,2048    1    1,  32    4    1,"void mul_mat_vec_q<(ggml_type)22, (int)1, (bool)0, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
1.8,78585243,1890,41579.5,41471.0,40894,45598,512.6,1024    1    1,  32    4    1,"void mul_mat_vec_q<(ggml_type)22, (int)1, (bool)0, (bool)1, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
1.3,56966751,2010,28341.7,26303.0,24672,168028,14475.5,  32    1   32,  32    4    1,"void gated_delta_net_cuda<(int)128, (bool)0, (bool)0>(const float *, const float *, const float *, const float *, const float *, const float *, float *, float *, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, float, long, int)"
1.2,51269910,2010,25507.4,25279.0,24767,30847,773.0,   1  512    1, 256    1    1,"void k_get_rows_float_vec<float>(const T1 *, const int *, T1 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
